Country Name,Country Code,Population_2012,Population_2017,Population_2018,Pop_Growth_2012,Pop_Growth_GDP_2017,Pop_Growth_GDP_2018,GDP_Capita_2012,GDP_Capita_2017,GDP_Capita_2018,GDP_Capita_Growth_2012,GDP_Capita_Growth_2017,GDP_Capita_Growth_2018,GDP_2012,GDP_2017,GDP_2018,GDP_Growth_2012,GDP_Growth_2017,GDP_Growth_2018,Corruption Perception Index,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Libya,LBY,6285750,6580724,6678567,0.611354689,1.354885849,1.47586739,13025.28139,5792.06511,7235.028115,121.7795426,24.97113139,6.258379751,81873662519,38115981879,48319620013,123.1395552,26.67587012,7.838242187,17,NORTHERN AFRICA,5900754,1759540,34,10,0,246,6400,826,1271,103,19,9878,,2649,348,76,499,425
St. Lucia,LCA,176646,180955,181889,0.625800617,0.515820624,0.514822934,8139.892046,10003.25987,10315.02608,-0.935617167,3.138477428,0.081064737,1437879370,1810139889,1876189778,-0.313727784,3.671861435,0.597633577,55,LATIN AMER. & CARIB,168458,616,2735,2565,-267,1353,5400,670,3033,656,2295,7049,2,1968,508,7,2,73
Sri Lanka,LKA,20425000,21444000,21670000,0.12899381,1.130220486,1.048392958,3350.521876,4104.630983,4102.48135,9.00387327,2.257527806,2.132746096,68434409315,88019706804,88900770858,9.144572246,3.419819189,3.209131128,38,ASIA (EX. NEAR EAST),20222240,65610,3082,204,-131,1435,3700,923,615,1386,157,7044,2,1551,652,178,276,545
Lesotho,LSO,2014990,2091412,2108132,0.557534246,0.787780034,0.796281137,1329.274971,1232.786919,1324.282768,5.40874062,-3.053044036,0.668522532,2678475773,2578265356,2791762880,5.998071782,-2.286299107,1.473326988,42,SUB-SAHARAN AFRICA,2022331,30355,666,0,-74,8423,3000,848,237,1087,13,89,3,2475,2871,163,443,394
Lithuania,LTU,2987773,2828403,2789533,-1.341201988,-1.398322201,-1.383804311,14341.18163,16809.64826,19089.70751,5.228863385,5.606389382,4.935793879,42848195256,47544459559,53251369047,3.82695401,4.139948473,3.493688808,59,BALTICS,3585906,65200,550,14,-71,689,11400,996,2234,4522,91,5387,,875,1098,55,325,62
Luxembourg,LUX,530946,596336,607728,2.4015419,2.430976418,1.892314684,106749.0136,104498.7387,114340.4987,-2.717088654,-0.893127173,0.679363416,56677961787,62316359824,69487922619,-0.35251936,1.54566061,2.602673946,82,WESTERN EUROPE,474413,2586,1835,0,897,481,55100,1000,5154,2328,4,7632,,1194,841,1,13,86
Latvia,LVA,2034319,1942248,1926542,-1.240359153,-0.886215573,-0.811937907,13822.80559,15684.55852,18088.92725,5.333067417,5.567905524,5.623844528,28119996053,30463302414,34849078086,4.034628375,4.636479621,4.769716682,58,BALTICS,2274735,64589,352,82,-223,955,10200,998,3214,2967,47,6986,3,924,1366,4,261,699
Morocco,MAR,33241898,35581294,36029138,1.393605966,1.287002655,1.250794964,2912.658275,3036.171062,3237.883368,1.580512366,2.736894992,1.648630514,98266306615,1.09709E+11,1.18495E+11,3.009961262,4.087506817,2.950062019,40,NORTHERN AFRICA,33241259,446550,744,41,-98,4162,4000,517,404,1961,217,7822,,2198,558,217,357,426
Moldova,MDA,3559519,3549196,3545883,-0.01311889,-0.077677563,-0.093388678,2446.725316,2724.493093,3189.355812,-0.576691756,4.772146278,4.097169591,8709165249,9669759987,11309082555,-0.589734135,4.690793428,4,31,C.W. OF IND. STATES,4466706,33843,1320,0,-26,4042,1800,991,2081,553,1079,3391,,157,1264,213,233,555
Madagascar,MDG,22346641,25570540,26262368,2.733967919,2.679883239,2.66961324,443.9047493,448.4007965,460.7527808,0.24892493,1.548700256,2.416764912,9919780071,11465850504,12100459087,3.027508092,4.30687978,5.187718738,24,SUB-SAHARAN AFRICA,18595469,587040,317,82,0,7683,800,689,36,507,103,9391,2,4141,1111,276,165,559
Maldives,MDV,397237,496402,515696,4.306004329,4.299186108,3.813136225,7265.613656,9801.624542,10223.63649,-1.80332647,2.412763386,2.085411062,2886170572,4865546026,5272288443,2.517383942,6.911694465,6.053235368,33,ASIA (EX. NEAR EAST),359008,300,11967,21467,0,5652,3900,972,900,1333,1667,70,2,3481,706,2,18,62
Mexico,MEX,117274155,124777324,126190788,1.355289252,1.163967779,1.126421149,10241.72792,9281.101483,9698.084187,2.247145121,0.888544148,0.851768911,1.20109E+12,1.15807E+12,1.22381E+12,3.642322679,2.069715185,1.994206817,29,LATIN AMER. & CARIB,107449525,1972550,545,47,-487,2091,9000,922,1816,1299,131,857,15,2069,474,38,259,702
North Macedonia,MKD,2074278,2081996,2082958,0.086380594,0.06010463,0.046194989,4698.141294,5417.642019,6083.718948,-0.541872334,0.180289922,2.617176945,9745251126,11279509014,12672131053,-0.455922696,0.240521014,2.664591889,35,EASTERN EUROPE,2050554,25333,809,0,-145,1009,6700,,2600,2226,181,7593,3,1202,877,118,319,563
Mali,MLI,15979499,18512394,19077690,2.952565219,2.999115367,3.007913579,778.6694625,828.6132202,901.4031007,-3.721253908,2.285864187,1.791676657,12442747897,15339614407,17196688920,-0.836178866,5.400000103,4.899995745,31,SUB-SAHARAN AFRICA,11716829,1240000,95,0,-33,11679,900,464,64,382,3,9615,2,4982,1689,45,17,38
Malta,MLT,420028,467999,483530,0.899209212,2.738662856,3.264720138,21931.74762,27241.09064,30074.74119,1.763774627,3.822859444,3.130254323,9211948091,12748803180,14542039605,2.682970416,6.705510407,6.552731679,56,WESTERN EUROPE,400214,316,12665,6228,207,389,17700,928,5050,2813,313,6874,,1022,81,3,23,74
Mongolia,MNG,2824699,3113779,3170208,1.942381267,1.861276285,1.79600998,4351.88692,3671.948419,4103.697493,10.15919245,3.359840934,5.045173052,12292770631,11433635876,13009574621,12.31981985,5.30166847,6.948838685,36,ASIA (EX. NEAR EAST),2832224,1564116,18,0,0,5379,1800,978,551,77,0,9923,1,2159,695,206,214,58
Mozambique,MOZ,24862648,28649007,29495962,2.753116358,2.900629142,2.913458975,613.984066,441.6178369,490.1675823,4.287150996,0.771155213,0.29969069,15265269711,12651912500,14457964381,7.198185828,3.736958241,3.264865871,25,SUB-SAHARAN AFRICA,19686505,801590,246,31,0,13079,1200,478,35,51,3,946,2,3518,2135,262,348,39
Mauritania,MRT,3706554,4282574,4403319,2.954438464,2.818999783,2.780434406,1411.35283,1161.785457,1218.59641,2.715149023,0.165634885,0.759147004,5231255478,4975432191,5365868725,5.795078172,3.02948016,3.600000006,28,SUB-SAHARAN AFRICA,3177388,1030700,31,7,0,7089,1800,417,129,48,1,9951,1,4099,1216,25,29,46
Mauritius,MUS,1255882,1264613,1265303,0.277321026,0.090186811,0.054547267,9291.227619,10484.90836,11238.69039,3.209499474,3.720567642,3.717228563,11668685524,13259351418,14220348673,3.49611836,3.814152108,3.773818909,50,SUB-SAHARAN AFRICA,1240827,2040,6083,868,-9,1503,11400,856,2893,4926,296,4778,2,1543,686,59,298,643
Malawi,MWI,15396005,17670260,18143315,2.858692113,2.666616388,2.641917288,391.5618324,356.7175732,389.3980332,-0.985564538,1.26339856,0.801419696,6028487929,6303292264,7064971176,1.885799507,4.000030517,3.5,31,SUB-SAHARAN AFRICA,13013926,118480,1098,0,0,10332,600,627,79,2338,149,7513,2,4313,1933,342,158,499
Malaysia,MYS,29068159,31105028,31528585,1.445660673,1.360192981,1.352511651,10817.44287,10117.56903,11238.95737,3.959634656,4.466357475,3.316769765,3.14443E+11,3.14707E+11,3.54348E+11,5.473454192,5.897009293,4.723633667,47,ASIA (EX. NEAR EAST),24385858,329750,740,142,0,177,9000,887,1790,548,1761,7691,2,2286,505,84,48,436
Namibia,NAM,2194784,2402603,2448255,1.750389687,1.872154337,1.882279294,5930.548473,5646.456007,5931.453885,3.238694404,-2.70651864,-1.937959389,13016272899,13566192143,14521711630,5.061682013,-0.867877108,-0.074676825,51,SUB-SAHARAN AFRICA,2044147,825418,25,19,0,4898,7200,840,626,99,0,9901,1,2432,1886,97,315,588
Niger,NER,17795191,21602472,22442948,3.898694473,3.839154453,3.816869199,390.1199097,375.8694897,411.6889425,7.573047302,0.942737603,1.234038834,6942258305,8119710126,9239513530,11.84981918,4.893436692,5.172698263,33,SUB-SAHARAN AFRICA,12525094,1267000,99,0,-67,12169,800,176,19,354,1,9645,1,5073,2091,39,17,44
Nigeria,NGA,167228767,190873311,195874740,2.680913555,2.607676386,2.586545852,2746.991789,1968.559588,2028.18197,1.472867464,-1.788826785,-0.665579082,4.59376E+11,3.75745E+11,3.9727E+11,4.230061175,0.80588662,1.937268068,27,SUB-SAHARAN AFRICA,131859731,923768,1427,9,26,988,900,680,93,3129,296,6575,15,4043,1694,269,487,244
Nicaragua,NIC,5982526,6384855,6465513,1.337558375,1.274855157,1.255357967,1760.46057,2168.19124,2028.896891,5.081172629,3.349484869,-5.015619975,10532001130,13843586680,13117859222,6.496136543,4.675475377,-3.815710169,26,LATIN AMER. & CARIB,5570129,129494,430,70,-122,2911,2300,675,397,1594,194,8212,2,2451,445,165,275,56
